pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.6,0.733333333333333,0.666666666666667,0.866666666666667,0.772308989186726,1
cmt-confOf,0.4375,0.75,0.78125,0.875,0.730938327354997,1
cmt-edas,0.538461538461538,0.884615384615385,0.769230769230769,1,0.881428480610652,1
cmt-ekaw,0.545454545454545,0.727272727272727,0.772727272727273,1,0.90558540848411,1
conference-cmt,0.6,0.666666666666667,0.733333333333333,0.866666666666667,0.772308989186726,1
conference-confOf,0.666666666666667,0.833333333333333,0.8,0.866666666666667,0.779304878947755,0.933333333333333
conference-edas,0.647058823529412,0.764705882352941,0.705882352941176,0.941176470588235,0.819164931858049,1
conference-ekaw,0.68,0.8,0.8,0.92,0.832574224180297,0.96
confOf-cmt,0.4375,0.78125,0.75,0.875,0.730938327354997,1
confOf-conference,0.666666666666667,0.8,0.833333333333333,0.866666666666667,0.779304878947755,0.933333333333333
confOf-edas,0.526315789473684,0.736842105263158,0.710526315789474,0.894736842105263,0.771844185566869,1
confOf-ekaw,0.6,0.875,0.775,0.95,0.8417575955274,1
edas-cmt,0.538461538461538,0.769230769230769,0.884615384615385,1,0.881428480610652,1
edas-conference,0.647058823529412,0.705882352941176,0.764705882352941,0.941176470588235,0.819164931858049,1
edas-confOf,0.526315789473684,0.710526315789474,0.736842105263158,0.894736842105263,0.771844185566869,1
edas-ekaw,0.391304347826087,0.717391304347826,0.652173913043478,0.91304347826087,0.822677067439217,1
ekaw-cmt,0.545454545454545,0.772727272727273,0.727272727272727,1,0.90558540848411,1
ekaw-conference,0.68,0.8,0.8,0.92,0.832574224180297,0.96
ekaw-confOf,0.6,0.775,0.875,0.95,0.8417575955274,1
ekaw-edas,0.391304347826087,0.652173913043478,0.717391304347826,0.91304347826087,0.822677067439217,1
,0.563276171141193,0.762797568045877,0.762797568045877,0.92272901242877,0.815758408915607,0.989333333333333
