pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.392156862745098,0.862745098039216,0.656862745098039,0.96078431372549,0.766862465073936,1
cmt-confOf,0.346153846153846,0.769230769230769,0.730769230769231,0.923076923076923,0.665630136517979,1
cmt-edas,0.392857142857143,0.75,0.678571428571429,0.964285714285714,0.811233893374853,1
cmt-ekaw,0.393939393939394,0.818181818181818,0.696969696969697,1,0.794029641195353,1
conference-cmt,0.392156862745098,0.656862745098039,0.862745098039216,0.96078431372549,0.766862465073936,1
conference-confOf,0.35,0.675,0.8125,0.925,0.633437550008835,0.975
conference-edas,0.486486486486487,0.581081081081081,0.635135135135135,0.810810810810811,0.672929584575143,0.945945945945946
conference-ekaw,0.52112676056338,0.746478873239437,0.71830985915493,0.901408450704225,0.747719927220649,1
confOf-cmt,0.346153846153846,0.730769230769231,0.769230769230769,0.923076923076923,0.665630136517979,1
confOf-conference,0.35,0.8125,0.675,0.925,0.633437550008835,0.975
confOf-edas,0.450980392156863,0.598039215686274,0.627450980392157,0.764705882352941,0.624660668294745,0.843137254901961
confOf-ekaw,0.594594594594595,0.932432432432432,0.783783783783784,0.972972972972973,0.840172088784489,1
edas-cmt,0.392857142857143,0.678571428571429,0.75,0.964285714285714,0.811233893374853,1
edas-conference,0.486486486486487,0.635135135135135,0.581081081081081,0.810810810810811,0.672929584575143,0.945945945945946
edas-confOf,0.450980392156863,0.627450980392157,0.598039215686274,0.764705882352941,0.624660668294745,0.843137254901961
edas-ekaw,0.369565217391304,0.728260869565217,0.597826086956522,0.891304347826087,0.799449063905276,1
ekaw-cmt,0.393939393939394,0.696969696969697,0.818181818181818,1,0.794029641195353,1
ekaw-conference,0.507042253521127,0.704225352112676,0.732394366197183,0.887323943661972,0.733635420178395,1
ekaw-confOf,0.594594594594595,0.783783783783784,0.932432432432432,0.972972972972973,0.840172088784489,1
ekaw-edas,0.369565217391304,0.597826086956522,0.728260869565217,0.891304347826087,0.799449063905276,1
,0.429081844336698,0.719277229862246,0.719277229862246,0.910730716223404,0.734908276543013,0.976408320084791
