pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.6,0.9,0.9,1,0.807325909541606,1
cmt-confOf,0.8,0.9,1,1,0.892857142857143,1
cmt-edas,0.625,0.8125,0.8125,1,0.891340881133654,1
cmt-ekaw,0.6,0.7,0.8,1,0.917029707844151,1
conference-cmt,0.6,0.9,0.9,1,0.807325909541606,1
conference-confOf,0.75,0.875,0.8125,0.875,0.780200098814229,0.875
conference-edas,0.75,0.875,0.8125,1,0.872816981655975,1
conference-ekaw,0.75,0.916666666666667,0.833333333333333,1,0.895003121015118,1
confOf-cmt,0.8,1,0.9,1,0.892857142857143,1
confOf-conference,0.75,0.8125,0.875,0.875,0.780200098814229,0.875
confOf-edas,0.6,0.8,0.85,0.9,0.854953234343471,1
confOf-ekaw,0.666666666666667,0.777777777777778,0.722222222222222,0.888888888888889,0.76616544807353,0.888888888888889
edas-cmt,0.625,0.8125,0.8125,1,0.891340881133654,1
edas-conference,0.75,0.8125,0.875,1,0.872816981655975,1
edas-confOf,0.6,0.85,0.8,0.9,0.854953234343471,1
edas-ekaw,0.636363636363636,0.818181818181818,0.727272727272727,0.909090909090909,0.886820695998438,1
ekaw-cmt,0.6,0.8,0.7,1,0.917029707844151,1
ekaw-conference,0.75,0.833333333333333,0.916666666666667,1,0.895003121015118,1
ekaw-confOf,0.666666666666667,0.722222222222222,0.777777777777778,0.888888888888889,0.76616544807353,0.888888888888889
ekaw-edas,0.636363636363636,0.727272727272727,0.818181818181818,0.909090909090909,0.886820695998438,1
,0.67780303030303,0.832272727272727,0.832272727272727,0.95729797979798,0.856451322127732,0.976388888888889
