pair,precision,f-measure,recall
cmt-conference,0.567482777057205,0.575152562157093,0.60699487323548
cmt-confOf,0.75,0.688452836203431,0.651224481446819
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.642789970539628,0.638357344114903,0.660708809551888
conference-cmt,0.586206896551724,0.586206896551724,0.586206896551724
conference-confOf,0.541666666666667,0.480430385194749,0.500215889464594
conference-edas,0.517241379310345,0.517241379310345,0.517241379310345
conference-ekaw,0.466179922535105,0.464645495230282,0.465428530134412
confOf-cmt,0.71875,0.709850492462841,0.756413660886679
confOf-conference,0.563702976003398,0.582324749385822,0.633333333333333
confOf-edas,0.743256823324147,0.743422195745526,0.743589743589744
confOf-ekaw,0.708880088307075,0.720134802420674,0.741935483870968
edas-cmt,0.705949873062172,0.669486933457671,0.747701127129623
edas-conference,0.509098074122287,0.520331709171823,0.586206896551724
edas-confOf,0.693670436078007,0.694947839684682,0.743589743589744
edas-ekaw,0.81695940293713,0.825839852577071,0.846153846153846
ekaw-cmt,0.673913043478261,0.654711122402575,0.656276041779424
ekaw-conference,0.452237265058248,0.458462795979641,0.472727272727273
ekaw-confOf,0.741935483870968,0.741935483870968,0.741935483870968
ekaw-edas,0.769230769230769,0.769230769230769,0.769230769230769
,0.640810533583127,0.6344112234341,0.653708654296939
