pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,
cmt-confOf,
cmt-edas,
cmt-ekaw,
conference-cmt,
conference-confOf,0.75,0.875,0.8125,0.875,0.7802000988142292,0.875
conference-edas,0.75,0.875,0.8125,1.0,0.8728169816559747,1.0
conference-ekaw,0.75,0.9166666666666666,0.8333333333333334,1.0,0.895003121015118,1.0
confOf-cmt,
confOf-conference,0.75,0.8125,0.875,0.875,0.7802000988142292,0.875
confOf-edas,0.6,0.8,0.85,0.9,0.8549532343434715,1.0
confOf-ekaw,0.6666666666666666,0.7777777777777778,0.7222222222222222,0.8888888888888888,0.7661654480735303,0.8888888888888888
edas-cmt,
edas-conference,0.75,0.8125,0.875,1.0,0.8728169816559747,1.0
edas-confOf,0.6,0.85,0.8,0.9,0.8549532343434715,1.0
edas-ekaw,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.9090909090909091,0.8868206959984384,1.0
ekaw-cmt,
ekaw-conference,0.7,0.8,0.9,1.0,0.8740037452181417,1.0
ekaw-confOf,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.8888888888888888,0.7661654480735303,0.8888888888888888
ekaw-edas,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.8868206959984384,1.0
