VeeAlign (max_path=1, max_pathlen=5, threshold=0.735)(self+self german+aml two-step)	0.69144981	0.60983607	0.64808362	0.62458026	0.67342505
VeeAlign (max_path=, max_pathlen=1, threshold=0.735)(self+self german+aml two-step)	0.72961373	0.55737705	0.63197026	0.58499656	0.68714632
VeeAlign (max_path=, max_pathlen=3, threshold=0.735)(self+self german+aml two-step)	0.68904594	0.63934426	0.66326531	0.64870259	0.67849687
VeeAlign (max_path=, max_pathlen=4, threshold=0.735)(self+self german+aml two-step)	0.74152542	0.57377049	0.64695009	0.60096154	0.70056045
VeeAlign (max_path=, max_pathlen=1, threshold=0.735)(self+self german+aml two-step)	0.7398374	0.59672131	0.66061706	0.6207367	0.70597362
VeeAlign (max_path=, max_pathlen=3, threshold=0.735)(self+self german+aml two-step)	0.76635514	0.53770492	0.63198459	0.57182706	0.70628768
VeeAlign (max_path=, max_pathlen=4, threshold=0.735)(self+self german+aml two-step)	0.73221757	0.57377049	0.64338235	0.59972584	0.69389374
VeeAlign (max_path=, max_pathlen=1, threshold=0.735)(self+self german+aml two-step)	0.66542751	0.58688525	0.62369338	0.60107455	0.6480811
VeeAlign (max_path=, max_pathlen=3, threshold=0.735)(self+self german+aml two-step)	0.7265625	0.60983607	0.6631016	0.6300813	0.69977427
VeeAlign (max_path=, max_pathlen=3, threshold=0.735)(self+self german+aml two-step)	0.69548872	0.60655738	0.64798599	0.62247645	0.67567568
VeeAlign (max_path=, max_pathlen=6, threshold=0.735)(self+self german+aml two-step)	0.70869565	0.53442623	0.60934579	0.56206897	0.66530612
