Number of neighbours: 7
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.19989206572415044
Epoch: 0 Idx: 1000 Loss: 0.061224325511751485
Epoch: 0 Idx: 2000 Loss: 0.05517361287508331
Epoch: 0 Idx: 3000 Loss: 0.006516168547770635
Epoch: 0 Idx: 4000 Loss: 0.031540180274812785
Epoch: 0 Idx: 5000 Loss: 0.023927629087683686
Epoch: 0 Idx: 6000 Loss: 0.014896467785186211
Epoch: 0 Idx: 7000 Loss: 0.02870973771374883
Epoch: 0 Idx: 8000 Loss: 0.012216668159050894
Epoch: 0 Idx: 9000 Loss: 0.0018126354200345403
Epoch: 0 Idx: 10000 Loss: 0.009279341870971779
Epoch: 0 Idx: 11000 Loss: 0.00918945961243095
Epoch: 0 Idx: 12000 Loss: 0.0313216005158062
Epoch: 0 Idx: 13000 Loss: 0.01947686861350256
Epoch: 0 Idx: 14000 Loss: 0.013982842414893433
Epoch: 0 Idx: 15000 Loss: 0.026740987316881206
Epoch: 0 Idx: 16000 Loss: 0.034628371526081135
Epoch: 0 Idx: 17000 Loss: 0.03768192421827032
Epoch: 1 Idx: 0 Loss: 0.03501303147997525
Epoch: 1 Idx: 1000 Loss: 0.013502355925498222
Epoch: 1 Idx: 2000 Loss: 0.000956731061859712
Epoch: 1 Idx: 3000 Loss: 0.014862489426480661
Epoch: 1 Idx: 4000 Loss: 0.009597132104101362
Epoch: 1 Idx: 5000 Loss: 0.10040763145373721
Epoch: 1 Idx: 6000 Loss: 0.030173625194469016
Epoch: 1 Idx: 7000 Loss: 0.021927755287621285
Epoch: 1 Idx: 8000 Loss: 0.05619725500770079
Epoch: 1 Idx: 9000 Loss: 0.01825944236410857
Epoch: 1 Idx: 10000 Loss: 0.01921529461844093
Epoch: 1 Idx: 11000 Loss: 0.025977938585889513
Epoch: 1 Idx: 12000 Loss: 0.06606259067359968
Epoch: 1 Idx: 13000 Loss: 0.014982429270229523
Epoch: 1 Idx: 14000 Loss: 0.030905624276506755
Epoch: 1 Idx: 15000 Loss: 0.020352012913080718
Epoch: 1 Idx: 16000 Loss: 0.022778733119694212
Epoch: 1 Idx: 17000 Loss: 0.0664743814042838
Epoch: 2 Idx: 0 Loss: 0.010505679019628254
Epoch: 2 Idx: 1000 Loss: 0.08535466215350127
Epoch: 2 Idx: 2000 Loss: 0.012509669456493521
Epoch: 2 Idx: 3000 Loss: 0.001471838922242998
Epoch: 2 Idx: 4000 Loss: 0.02395256463861541
Epoch: 2 Idx: 5000 Loss: 0.007748392722042806
Epoch: 2 Idx: 6000 Loss: 0.03421802162803344
Epoch: 2 Idx: 7000 Loss: 0.0158991530697901
Epoch: 2 Idx: 8000 Loss: 0.016493086624602134
Epoch: 2 Idx: 9000 Loss: 0.024128749028675234
Epoch: 2 Idx: 10000 Loss: 0.013941770187643913
Epoch: 2 Idx: 11000 Loss: 0.013040817064545006
Epoch: 2 Idx: 12000 Loss: 0.016801432217793105
Epoch: 2 Idx: 13000 Loss: 0.01892755673733387
Epoch: 2 Idx: 14000 Loss: 0.03598200946078211
Epoch: 2 Idx: 15000 Loss: 0.06951589366373853
Epoch: 2 Idx: 16000 Loss: 0.001206838551642429
Epoch: 2 Idx: 17000 Loss: 0.014448978810636004
Epoch: 3 Idx: 0 Loss: 0.024141354345046186
Epoch: 3 Idx: 1000 Loss: 0.014897132959912572
Epoch: 3 Idx: 2000 Loss: 0.021306556037963744
Epoch: 3 Idx: 3000 Loss: 0.019360479725584898
Epoch: 3 Idx: 4000 Loss: 0.0020345076114663117
Epoch: 3 Idx: 5000 Loss: 0.03488898812552795
Epoch: 3 Idx: 6000 Loss: 0.01921244938830909
Epoch: 3 Idx: 7000 Loss: 0.0238522974978883
Epoch: 3 Idx: 8000 Loss: 0.0076715150398663865
Epoch: 3 Idx: 9000 Loss: 0.06858782235138197
Epoch: 3 Idx: 10000 Loss: 0.011051629761463079
Epoch: 3 Idx: 11000 Loss: 0.0071932095089159405
Epoch: 3 Idx: 12000 Loss: 0.0234611230231498
Epoch: 3 Idx: 13000 Loss: 0.022434622790111564
Epoch: 3 Idx: 14000 Loss: 0.007375668522061398
Epoch: 3 Idx: 15000 Loss: 0.005247731805454297
Epoch: 3 Idx: 16000 Loss: 0.013540099643263779
Epoch: 3 Idx: 17000 Loss: 0.02353685080725622
Epoch: 4 Idx: 0 Loss: 0.01580699871569989
Epoch: 4 Idx: 1000 Loss: 0.02673622032603948
Epoch: 4 Idx: 2000 Loss: 0.020183214558079452
Epoch: 4 Idx: 3000 Loss: 0.006245107482380909
Epoch: 4 Idx: 4000 Loss: 0.005959311688433423
Epoch: 4 Idx: 5000 Loss: 0.017238451652704125
Epoch: 4 Idx: 6000 Loss: 0.037644037570695815
Epoch: 4 Idx: 7000 Loss: 0.025512423507263356
Epoch: 4 Idx: 8000 Loss: 0.0031728312796156983
Epoch: 4 Idx: 9000 Loss: 0.03461945780383231
Epoch: 4 Idx: 10000 Loss: 0.016303531275377724
Epoch: 4 Idx: 11000 Loss: 0.016973018707904998
Epoch: 4 Idx: 12000 Loss: 0.01357397059120851
Epoch: 4 Idx: 13000 Loss: 0.012312086580679256
Epoch: 4 Idx: 14000 Loss: 0.005296001287381306
Epoch: 4 Idx: 15000 Loss: 0.020159559597539376
Epoch: 4 Idx: 16000 Loss: 0.019027834413254136
Epoch: 4 Idx: 17000 Loss: 0.03509969940796448
Epoch: 5 Idx: 0 Loss: 0.018545165747258664
Epoch: 5 Idx: 1000 Loss: 0.010208639891232522
Epoch: 5 Idx: 2000 Loss: 0.01328377653276496
Epoch: 5 Idx: 3000 Loss: 0.036505310551570476
Epoch: 5 Idx: 4000 Loss: 0.03760489798009035
Epoch: 5 Idx: 5000 Loss: 0.08165027066799824
Epoch: 5 Idx: 6000 Loss: 0.008200674319915342
Epoch: 5 Idx: 7000 Loss: 0.07064275407419243
Epoch: 5 Idx: 8000 Loss: 0.005687378287605804
Epoch: 5 Idx: 9000 Loss: 0.06555690561034325
Epoch: 5 Idx: 10000 Loss: 0.013868295442140816
Epoch: 5 Idx: 11000 Loss: 0.006137673049020445
Epoch: 5 Idx: 12000 Loss: 0.014949824155463023
Epoch: 5 Idx: 13000 Loss: 0.023482449401994777
Epoch: 5 Idx: 14000 Loss: 0.03564343391258072
Epoch: 5 Idx: 15000 Loss: 0.0297853275666234
Epoch: 5 Idx: 16000 Loss: 0.010146742375693015
Epoch: 5 Idx: 17000 Loss: 0.003084366909883633
Epoch: 6 Idx: 0 Loss: 0.016313490928586746
Epoch: 6 Idx: 1000 Loss: 0.029104995236392497
Epoch: 6 Idx: 2000 Loss: 0.014509195019743813
Epoch: 6 Idx: 3000 Loss: 0.02880948859573123
Epoch: 6 Idx: 4000 Loss: 0.010939130633264389
Epoch: 6 Idx: 5000 Loss: 0.014221967092428404
Epoch: 6 Idx: 6000 Loss: 0.013463939036087825
Epoch: 6 Idx: 7000 Loss: 0.02977931570998894
Epoch: 6 Idx: 8000 Loss: 0.021920073361668947
Epoch: 6 Idx: 9000 Loss: 0.03474862842818857
Epoch: 6 Idx: 10000 Loss: 0.017385208019209286
Epoch: 6 Idx: 11000 Loss: 0.034177367005162516
Epoch: 6 Idx: 12000 Loss: 0.05892767431411841
Epoch: 6 Idx: 13000 Loss: 0.012671934742337888
Epoch: 6 Idx: 14000 Loss: 0.02363624470996267
Epoch: 6 Idx: 15000 Loss: 0.06557669321491434
Epoch: 6 Idx: 16000 Loss: 0.01109105759433706
Epoch: 6 Idx: 17000 Loss: 0.012730847105991904
Epoch: 7 Idx: 0 Loss: 0.013806936640153726
Epoch: 7 Idx: 1000 Loss: 0.07151605091603487
Epoch: 7 Idx: 2000 Loss: 0.017253148644935632
Epoch: 7 Idx: 3000 Loss: 0.010883338836904203
Epoch: 7 Idx: 4000 Loss: 0.026939347640114384
Epoch: 7 Idx: 5000 Loss: 0.006984550301854587
Epoch: 7 Idx: 6000 Loss: 0.0125507294344101
Epoch: 7 Idx: 7000 Loss: 0.006025316710367861
Epoch: 7 Idx: 8000 Loss: 0.020075283138589688
Epoch: 7 Idx: 9000 Loss: 0.030907737630385863
Epoch: 7 Idx: 10000 Loss: 0.048161822199121275
Epoch: 7 Idx: 11000 Loss: 0.011783486160524308
Epoch: 7 Idx: 12000 Loss: 0.01661803851784469
Epoch: 7 Idx: 13000 Loss: 0.03251075638201081
Epoch: 7 Idx: 14000 Loss: 0.0189916839418836
Epoch: 7 Idx: 15000 Loss: 0.00956786091608199
Epoch: 7 Idx: 16000 Loss: 0.0070869968286224475
Epoch: 7 Idx: 17000 Loss: 0.00789129697277092
Epoch: 8 Idx: 0 Loss: 0.06759835344852295
Epoch: 8 Idx: 1000 Loss: 0.013604273326340025
Epoch: 8 Idx: 2000 Loss: 0.013668259580437474
Epoch: 8 Idx: 3000 Loss: 0.013270804344171215
Epoch: 8 Idx: 4000 Loss: 0.017221169245667436
Epoch: 8 Idx: 5000 Loss: 0.013332084139066176
Epoch: 8 Idx: 6000 Loss: 0.02768151778828372
Epoch: 8 Idx: 7000 Loss: 0.014052887342235802
Epoch: 8 Idx: 8000 Loss: 0.015854558303331927
Epoch: 8 Idx: 9000 Loss: 0.04455814181477277
Epoch: 8 Idx: 10000 Loss: 0.028529696567485597
Epoch: 8 Idx: 11000 Loss: 0.005443933083839574
Epoch: 8 Idx: 12000 Loss: 0.005695490921670815
Epoch: 8 Idx: 13000 Loss: 0.02209115796795119
Epoch: 8 Idx: 14000 Loss: 0.004239761041698671
Epoch: 8 Idx: 15000 Loss: 0.017621967878148754
Epoch: 8 Idx: 16000 Loss: 0.01589125977346551
Epoch: 8 Idx: 17000 Loss: 0.054355583276818976
Epoch: 9 Idx: 0 Loss: 0.015001264584400377
Epoch: 9 Idx: 1000 Loss: 0.009656607103149395
Epoch: 9 Idx: 2000 Loss: 0.0072550700722053794
Epoch: 9 Idx: 3000 Loss: 0.013939977597332209
Epoch: 9 Idx: 4000 Loss: 0.025249886058220206
Epoch: 9 Idx: 5000 Loss: 0.012700259631208579
Epoch: 9 Idx: 6000 Loss: 0.02462355809130694
Epoch: 9 Idx: 7000 Loss: 0.007942640998297761
Epoch: 9 Idx: 8000 Loss: 0.02478332226639647
Epoch: 9 Idx: 9000 Loss: 0.005588727501815674
Epoch: 9 Idx: 10000 Loss: 0.010040086473901384
Epoch: 9 Idx: 11000 Loss: 0.03741455751344852
Epoch: 9 Idx: 12000 Loss: 0.014010704077954005
Epoch: 9 Idx: 13000 Loss: 0.024991579456047814
Epoch: 9 Idx: 14000 Loss: 0.027420092651269986
Epoch: 9 Idx: 15000 Loss: 0.014346839191796065
Epoch: 9 Idx: 16000 Loss: 0.020581166017956086
Epoch: 9 Idx: 17000 Loss: 0.019325645906644387
Epoch: 10 Idx: 0 Loss: 0.01999983060188979
Epoch: 10 Idx: 1000 Loss: 0.020223985597600868
Epoch: 10 Idx: 2000 Loss: 0.035606740708233546
Epoch: 10 Idx: 3000 Loss: 0.014008640166888756
Epoch: 10 Idx: 4000 Loss: 0.02771873093123375
Epoch: 10 Idx: 5000 Loss: 0.011526546179482636
Epoch: 10 Idx: 6000 Loss: 0.010459784958903864
Epoch: 10 Idx: 7000 Loss: 0.0397331163165103
Epoch: 10 Idx: 8000 Loss: 0.006354736861297409
Epoch: 10 Idx: 9000 Loss: 0.004286147325387878
Epoch: 10 Idx: 10000 Loss: 0.030059111429938654
Epoch: 10 Idx: 11000 Loss: 0.020440062418461004
Epoch: 10 Idx: 12000 Loss: 0.02063914512827458
Epoch: 10 Idx: 13000 Loss: 0.019372430495126807
Epoch: 10 Idx: 14000 Loss: 0.01827716709775384
Epoch: 10 Idx: 15000 Loss: 0.035849114717694135
Epoch: 10 Idx: 16000 Loss: 0.021748743779947347
Epoch: 10 Idx: 17000 Loss: 0.018304736061866927
Epoch: 11 Idx: 0 Loss: 0.009390554444870816
Epoch: 11 Idx: 1000 Loss: 0.07398103167776043
Epoch: 11 Idx: 2000 Loss: 0.026535601596572336
Epoch: 11 Idx: 3000 Loss: 0.017561439932566477
Epoch: 11 Idx: 4000 Loss: 0.02281211217055819
Epoch: 11 Idx: 5000 Loss: 0.016533915485564807
Epoch: 11 Idx: 6000 Loss: 0.011955759681889437
Epoch: 11 Idx: 7000 Loss: 0.019197839814008685
Epoch: 11 Idx: 8000 Loss: 0.023681086276927492
Epoch: 11 Idx: 9000 Loss: 0.010679448806624543
Epoch: 11 Idx: 10000 Loss: 0.012906922204633896
Epoch: 11 Idx: 11000 Loss: 0.005372644488746899
Epoch: 11 Idx: 12000 Loss: 0.03423200311672855
Epoch: 11 Idx: 13000 Loss: 0.015868034673580972
Epoch: 11 Idx: 14000 Loss: 0.02554291557417423
Epoch: 11 Idx: 15000 Loss: 0.028336261680943626
Epoch: 11 Idx: 16000 Loss: 0.04694064388308761
Epoch: 11 Idx: 17000 Loss: 0.02782210573662039
Epoch: 12 Idx: 0 Loss: 0.011331755129089585
Epoch: 12 Idx: 1000 Loss: 0.0063231884967251415
Epoch: 12 Idx: 2000 Loss: 0.029220589538983762
Epoch: 12 Idx: 3000 Loss: 0.009779300575319637
Epoch: 12 Idx: 4000 Loss: 0.008090023118322496
Epoch: 12 Idx: 5000 Loss: 0.014948661398158385
Epoch: 12 Idx: 6000 Loss: 0.04279079135345718
Epoch: 12 Idx: 7000 Loss: 0.02052415832855028
Epoch: 12 Idx: 8000 Loss: 0.021779267188446888
Epoch: 12 Idx: 9000 Loss: 0.01921129460070951
Epoch: 12 Idx: 10000 Loss: 0.055925316787828486
Epoch: 12 Idx: 11000 Loss: 0.0070793174144601935
Epoch: 12 Idx: 12000 Loss: 0.01657536885827422
Epoch: 12 Idx: 13000 Loss: 0.006069237821766149
Epoch: 12 Idx: 14000 Loss: 0.01349198252779203
Epoch: 12 Idx: 15000 Loss: 0.054071491743635465
Epoch: 12 Idx: 16000 Loss: 0.004627774604074075
Epoch: 12 Idx: 17000 Loss: 0.025505031654360348
