pair,precision,f-measure,recall
cmt-conference,0.567255958736789,0.574636110348743,0.606609945850284
cmt-confOf,0.75,0.688869824168598,0.651762021304445
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.643479387469144,0.63884578946232,0.660445590636226
conference-cmt,0.586206896551724,0.586206896551724,0.586206896551724
conference-confOf,0.541666666666667,0.480551419906259,0.500276854928018
conference-edas,0.517241379310345,0.517241379310345,0.517241379310345
conference-ekaw,0.466260507963751,0.464619516632875,0.465337013623008
confOf-cmt,0.71875,0.709850492462841,0.756413660886679
confOf-conference,0.564139183803982,0.58277347256266,0.633333333333333
confOf-edas,0.743268170366732,0.743427942374944,0.743589743589744
confOf-ekaw,0.709255284494848,0.720433169767054,0.741935483870968
edas-cmt,0.705949873062172,0.669486933457671,0.747701127129623
edas-conference,0.509122826577298,0.520371006730877,0.586206896551724
edas-confOf,0.693993455579484,0.695550393371494,0.743589743589744
edas-ekaw,0.817086608772587,0.826013266617027,0.846153846153846
ekaw-cmt,0.673913043478261,0.654711122402575,0.656276041779424
ekaw-conference,0.452020505369469,0.458249883940946,0.472727272727273
ekaw-confOf,0.741935483870968,0.741935483870968,0.741935483870968
ekaw-edas,0.769230769230769,0.769230769230769,0.769230769230769
,0.64089174124172,0.634503184835005,0.653701596422378
