pair,precision,f-measure,recall
cmt-conference,0.566921777526951,0.574735837704299,0.606986052755886
cmt-confOf,0.75,0.688371248535781,0.651118546537294
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.643054362154251,0.639146852736819,0.661243235609361
conference-cmt,0.586206896551724,0.586206896551724,0.586206896551724
conference-confOf,0.508333333333333,0.480308928019771,0.500155183116077
conference-edas,0.517241379310345,0.517241379310345,0.517241379310345
conference-ekaw,0.450553666297878,0.447930475670713,0.447357293868922
confOf-cmt,0.71875,0.709850492462841,0.756413660886679
confOf-conference,0.550841266004845,0.563741243318226,0.6
confOf-edas,0.743263987025983,0.743425824049473,0.743589743589744
confOf-ekaw,0.708745510748211,0.720104825417089,0.741935483870968
edas-cmt,0.705949873062172,0.669486933457671,0.747701127129623
edas-conference,0.509170973433994,0.520478595807475,0.586206896551724
edas-confOf,0.694220275411967,0.695968598030454,0.743589743589744
edas-ekaw,0.815404729868694,0.825070298567352,0.846153846153846
ekaw-cmt,0.673913043478261,0.654711122402575,0.656276041779424
ekaw-conference,0.488434071655898,0.494660411607441,0.509090909090909
ekaw-confOf,0.741935483870968,0.741905420437122,0.741875412987325
ekaw-edas,0.769230769230769,0.769230769230769,0.769230769230769
,0.639461511124783,0.634481748842368,0.652971552306989
