pair,precision,f-measure,recall
cmt-conference,0.310011277180387,0.310177241858127,0.310344827586207
cmt-confOf,0.75,0.688371248535781,0.651118546537294
cmt-edas,0.411764705882353,0.411764705882353,0.411764705882353
cmt-ekaw,0.260869565217391,0.250157529930687,0.243680485338726
conference-cmt,0.275862068965517,0.275862068965517,0.275862068965517
conference-confOf,0.433333333333333,0.433333333333333,0.433333333333333
conference-edas,0.482758620689655,0.482758620689655,0.482758620689655
conference-ekaw,0.290909090909091,0.290909090909091,0.290909090909091
confOf-cmt,0.71875,0.71708172812328,0.7693763518385
confOf-conference,0.446384993625933,0.452091785542905,0.466666666666667
confOf-edas,0.282051282051282,0.282051282051282,0.282051282051282
confOf-ekaw,0.44453069827043,0.447824289467208,0.451612903225806
edas-cmt,0.441176470588235,0.425824147064058,0.435346913634564
edas-conference,0.517241379310345,0.500249875062469,0.489975942261427
edas-confOf,0.307692307692308,0.301374953548867,0.297555158020274
edas-ekaw,0.497577741407529,0.498749493037718,0.5
ekaw-cmt,0.282608695652174,0.271261326090825,0.278299892686417
ekaw-conference,0.304321907600596,0.306346483704974,0.309090909090909
ekaw-confOf,0.387096774193548,0.387096774193548,0.387096774193548
ekaw-edas,0.5,0.5,0.5
,0.417247045628505,0.411664298899584,0.413342223645578
