pair,precision,f-measure,recall
cmt-conference,0.567111998807796,0.574763787727171,0.606949246749872
cmt-confOf,0.75,0.686772953519736,0.649071953290467
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.64269539486258,0.637707942937139,0.66015404709994
conference-cmt,0.586206896551724,0.586206896551724,0.586206896551724
conference-confOf,0.541666666666667,0.480460087416609,0.500230840258541
conference-edas,0.517241379310345,0.517241379310345,0.517241379310345
conference-ekaw,0.466479584057342,0.464775330012899,0.465377635672312
confOf-cmt,0.71875,0.709850492462841,0.756413660886679
confOf-conference,0.564278159525464,0.582939249470764,0.633333333333333
confOf-edas,0.743302710090463,0.743445419033446,0.743589743589744
confOf-ekaw,0.707663131242591,0.719339438463293,0.741935483870968
edas-cmt,0.705949873062172,0.669486933457671,0.747701127129623
edas-conference,0.509179186874901,0.520431038836722,0.586206896551724
edas-confOf,0.693716473427849,0.695034303170487,0.743589743589744
edas-ekaw,0.817681348522725,0.826190616642821,0.846153846153846
ekaw-cmt,0.673913043478261,0.654711122402575,0.656276041779424
ekaw-conference,0.451759587643278,0.457994465993098,0.472727272727273
ekaw-confOf,0.741935483870968,0.741935483870968,0.741935483870968
ekaw-edas,0.769230769230769,0.769230769230769,0.769230769230769
,0.640791025537765,0.634278826702025,0.653569211258836
