pair,precision,f-measure,recall
cmt-conference,0.700491963354365,0.700310500115873,0.74488028123263
cmt-confOf,0.752520161290323,0.691617914760047,0.711571953290467
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.656398444051248,0.64721119309276,0.66015404709994
conference-cmt,0.689655172413793,0.689655172413793,0.689655172413793
conference-confOf,0.567648555943105,0.502395361079473,0.566897506925208
conference-edas,0.655172413793103,0.655172413793103,0.655172413793103
conference-ekaw,0.502843220420978,0.501138966376536,0.501741272035949
confOf-cmt,0.78125,0.772350492462841,0.818913660886679
confOf-conference,0.728064620402614,0.742777403665891,0.766666666666667
confOf-edas,0.871794871794872,0.871794871794872,0.871794871794872
confOf-ekaw,0.832349522092455,0.83532167317185,0.838709677419355
edas-cmt,0.764705882352941,0.728175577454596,0.747701127129623
edas-conference,0.620627878362777,0.632128951026924,0.655172413793103
edas-confOf,0.564102564102564,0.564102564102564,0.564102564102564
edas-ekaw,0.918270808596863,0.920630264875506,0.923076923076923
ekaw-cmt,0.673913043478261,0.662525153636512,0.669523275408464
ekaw-conference,0.50907883617047,0.509084870625887,0.509090909090909
ekaw-confOf,0.741935483870968,0.741935483870968,0.741935483870968
ekaw-edas,0.769230769230769,0.769230769230769,0.769230769230769
,0.697355651762594,0.689230921054009,0.70265249063957
