pair,precision,f-measure,recall
cmt-conference,0.310144281655618,0.310244262185174,0.310344827586207
cmt-confOf,0.75,0.687385571111085,0.649853778619534
cmt-edas,0.411764705882353,0.411764705882353,0.411764705882353
cmt-ekaw,0.260869565217391,0.249953282670985,0.243418514046727
conference-cmt,0.275862068965517,0.275862068965517,0.275862068965517
conference-confOf,0.433333333333333,0.433333333333333,0.433333333333333
conference-edas,0.482758620689655,0.482758620689655,0.482758620689655
conference-ekaw,0.327272727272727,0.327272727272727,0.327272727272727
confOf-cmt,0.71875,0.71708172812328,0.7693763518385
confOf-conference,0.445956923076923,0.451645539486996,0.466666666666667
confOf-edas,0.282051282051282,0.282051282051282,0.282051282051282
confOf-ekaw,0.536887896636778,0.542211873814094,0.548387096774194
edas-cmt,0.441176470588235,0.425824147064058,0.435346913634564
edas-conference,0.517241379310345,0.50048405407476,0.490278260284872
edas-confOf,0.307692307692308,0.301258589587178,0.297405888433197
edas-ekaw,0.497971934856089,0.498958508668574,0.5
ekaw-cmt,0.282608695652174,0.271261326090825,0.278299892686417
ekaw-conference,0.341241685144124,0.34307210031348,0.345454545454545
ekaw-confOf,0.451612903225806,0.451612903225806,0.451612903225806
ekaw-edas,0.5,0.5,0.5
,0.428759839062533,0.423201831230558,0.424974418872305
