query,prec,rec,size_source,size_target,common
confOf_6_3.sparql,1.0,1.0,1074,1074,1074
ekaw_6_1.sparql,1.0,0.9981378026070763,1074,1072,1072
conference_6_2.sparql,1.0,1.0,1074,1074,1074
edas_10_1.sparql,0.9977337110481587,1.0,3522,3530,3522
ekaw_10_0.sparql,0.988492843109739,1.0,3522,3563,3522
confOf_10_3.sparql,0.9896038212981174,1.0,3522,3559,3522
conference_10_2.sparql,0.9386503067484663,0.1303236797274276,3522,489,459
edas_5_1.sparql,1.0,1.0,4351,4351,4351
ekaw_5_2.sparql,1.0,1.0,4351,4351,4351
confOf_5_0.sparql,1.0,1.0,4351,4351,4351
conference_5_3.sparql,1.0,1.0,4351,4351,4351
conference_34_0.sparql,1.0,1.0,2834,2834,2834
conference_3_0.sparql,1.0,1.0,1602,1602,1602
confOf_7_0.sparql,1.0,0.5,4300,2150,2150
conference_17_0.sparql,1.0,1.0,2150,2150,2150
conference_25_0.sparql,0.7925969447708578,1.0,8094,10212,8094
confOf_25_1.sparql,0.7925969447708578,1.0,8094,10212,8094
confOf_16_3.sparql,1.0,1.0,5,5,5
ekaw_16_2.sparql,1.0,1.0,5,5,5
conference_16_1.sparql,1.0,1.0,5,5,5
conference_0_1.sparql,1.0,1.0,5,5,5
edas_13_0.sparql,1.0,1.0,3508,3508,3508
conference_28_0.sparql,1.0,1.0,1602,1602,1602
conference_33_2.sparql,1.0,1.0,10289,10289,10289
edas_33_0.sparql,1.0,1.0,10289,10289,10289
ekaw_33_1.sparql,1.0,1.0,10289,10289,10289
conference_29_1.sparql,1.0,1.0,1074,1074,1074
ekaw_8_1.sparql,0.9953588861326719,0.852628692850778,14589,12497,12439
edas_8_0.sparql,0.9345604808414726,0.852628692850778,14589,13310,12439
conference_8_2.sparql,0.9242318656952804,1.0,14589,15785,14589
confOf_20_0.sparql,1.0,0.5,21604,10802,10802
ekaw_20_3.sparql,1.0,0.5,21604,10802,10802
edas_20_2.sparql,1.0,0.5,21604,10802,10802
ekaw_20_1.sparql,0.8226961157654227,0.5,21604,13130,10802
conference_2_1.sparql,1.0,1.0,10289,10289,10289
ekaw_2_0.sparql,1.0,1.0,10289,10289,10289
confOf_18_6.sparql,1.0,1.0,5,5,5
ekaw_18_4.sparql,1.0,1.0,5,5,5
conference_18_2.sparql,1.0,1.0,5,5,5
edas_18_7.sparql,1.0,1.0,5,5,5
confOf_32_0.sparql,1.0,1.0,5,5,5
ekaw_1_1.sparql,1.0,1.0,1072,1072,1072
conference_1_0.sparql,1.0,1.0,1072,1072,1072
conference_15_0.sparql,1.0,1.0,10289,10289,10289
ekaw_15_1.sparql,1.0,1.0,10289,10289,10289
ekaw_21_3.sparql,1.0,0.5,4300,2150,2150
edas_21_4.sparql,1.0,0.5,4300,2150,2150
confOf_21_1.sparql,1.0,0.5,4300,2150,2150
conference_21_2.sparql,1.0,1.0,4300,4300,4300
confOf_26_1.sparql,1.0,1.0,2150,2150,2150
conference_26_2.sparql,1.0,0.6046511627906976,2150,1300,1300
ekaw_26_0.sparql,1.0,1.0,2150,2150,2150
edas_23_0.sparql,1.0,1.0,3508,3508,3508
ekaw_4_1.sparql,1.0,1.0,1602,1602,1602
conference_4_0.sparql,1.0,1.0,1602,1602,1602
edas_27_0.sparql,1.0,1.0,5,5,5
confOf_9_0.sparql,0.7925969447708578,1.0,8094,10212,8094
conference_9_1.sparql,0.7925969447708578,1.0,8094,10212,8094
conference_19_0.sparql,1.0,1.0,1074,1074,1074
edas_12_0.sparql,1.0,1.0,3284,3284,3284
confOf_12_4.sparql,1.0,1.0,3284,3284,3284
conference_12_2.sparql,1.0,1.0,3284,3284,3284
ekaw_12_5.sparql,1.0,1.0,3284,3284,3284

